year,corr_demauro_centrality,corr_idf_centrality,avg_centrality_simple,avg_centrality_complex,dominance_ratio,corr_length_centrality,corr_syllable_length_centrality
1,0.07703215147208009,0.010515981782961705,0.0038825700055206865,0.005278552211889482,0.7355369142272635,0.21971497145331786,0.20165374801244865
2,0.04809880914427409,0.00412705410486198,0.004412088327293355,0.005235036267803022,0.8427999543057546,0.2610778157153226,0.2348525622182859
3,0.04527802293789673,0.045078431431088785,0.004357379697524124,0.0050712385104221555,0.8592338318477933,0.29314392080689194,0.2673655700783832
4,-0.0065377835380831745,-0.0007777666376057716,0.0049821141654133585,0.0051028639492992104,0.9763368600288795,0.36216657409673086,0.3352503874976311
5,0.003191198235347273,0.010776847996542587,0.004889159177419632,0.005100357287567923,0.9585915067826551,0.37379518599634837,0.34633832028903294
6,0.04358168314346241,0.0827574513703814,0.004393181102541765,0.005225977708554935,0.8406429088570585,0.3293549034328906,0.30531208165658946
7,0.044528201417706914,0.0502078459806432,0.004384104082720531,0.005123535802313954,0.8556794081033898,0.33185068299612996,0.31055389427000685
